workload,run-time,cache-misses,instructions,branches,branch-misses,ref-cycles,cycles,faults,bus-cycles,cache-references,context-switches,cpu-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,itlb_misses.stlb_hit,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,mem-stores,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,l2_rqsts.all_demand_miss,l2_rqsts.all_demand_references,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_trans.l2_wb,l2_rqsts.miss,l2_rqsts.references,cycle_activity.cycles_mem_any,cycle_activity.stalls_mem_any,cycle_activity.stalls_total,uops_executed.stall_cycles,uops_issued.stall_cycles,uops_retired.stall_cycles,dtlb_load_misses.stlb_hit,dtlb_store_misses.stlb_hit,inst_retired.any,br_misp_retired.all_branches,br_inst_retired.all_branches,br_inst_retired.near_taken,br_inst_retired.near_call,mem_inst_retired.all_loads,mem_inst_retired.all_stores,l1d.replacement,l2_lines_in.all,longest_lat_cache.miss,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,uops_executed.thread,uops_executed.core_cycles_ge_1,cpu_clk_unhalted.ref_tsc,msr/tsc/,IpMispredict,BpTkBranch,IpBranch,IpCall,IpTB,IpLoad,IpStore,L1D_Cache_Fill_BW,L2_Cache_Fill_BW,L3_Cache_Fill_BW,CPI,MLP,ILP,CPU_Utilization
500.perlbench_r,22,255854018,227585682972,41660276108,443642162,65004963875,92719257995,47525,520039948,1619357647,490,21886,747280164,62270233934,38064174731,933498249,30000384,179001416,6438246,6375028,28492085,445826304,41881024347,40681485879,13981091,62773018823,1905105,40791674179,1492650,6900288,429814048,1541478412,229450566,172721285,161413675,956462711,2399174204,84949416021,9773334291,15864195271,15865135144,20386675409,32545537654,909746030,209400114,232346545625,451932309,42522916840,20494532087,1966772555,63565001702,41322878901,761385256,962964862,232008542,13156504015,10100487668,272089061404,78133684033,64146766250,64768269878,514.12,2.07,5.46,118.14,11.34,3.66,5.62,2.21,2.8,0.67,0.4,1.3,6.96,0.99
500.perlbench_r,24,277726353,248890005373,45548605126,485526389,70978368375,101260791970,47591,567827216,1766399944,510,23887,811917360,68085069425,41807094625,1002747009,32714364,193557618,6890939,6670723,30753240,488431903,45827252475,44543588511,15341315,68721295609,2074526,44686656365,1617305,7498199,468562351,1677694703,250671030,189047891,176522623,1045839132,2614609226,92949993741,10640048100,17277027156,17278054057,22186539756,35466036071,986484858,227425919,253392890044,493607929,46369581554,22343761097,2141615155,69316594879,45079931720,828021861,1049837509,255439064,14436499202,11077921870,297311963278,85325086544,70087513500,70773211286,513.35,2.08,5.46,118.32,11.34,3.66,5.62,2.2,2.79,0.68,0.4,1.3,6.97,0.99
500.perlbench_r,26,307966742,268712037127,49180726581,524965202,76856895875,109622468801,47673,614855417,1918851858,789,25877,880319940,73516592816,45448418293,1087400695,35574476,210666479,7470865,6932001,33032073,530959430,49829629391,48461438324,16630165,74580281961,2236530,48519148640,1735675,8132320,507133290,1817514977,271547858,205194050,191100181,1133930966,2833710081,100955289377,11549635056,18740885476,18742002864,24053014176,38457946736,1072494206,247211939,274741168449,535311127,50269566653,24218966594,2319180121,75151992095,48896426503,898034999,1139301473,276217630,15625418599,11998984504,322785638057,92599371180,76035073125,76778989500,513.24,2.08,5.47,118.46,11.34,3.66,5.62,2.21,2.8,0.68,0.4,1.3,6.97,0.99
500.perlbench_r,28,334604930,289349551087,52946837737,565933399,82773010625,118079370820,47726,662184390,2061203059,887,27875,942691039,79156174782,49108337853,1172486551,38320885,227582417,8065629,7200857,35407158,574282392,53781135839,52318869132,18052644,80489756133,2418948,52373404647,1868749,8780669,548804873,1958946997,293503768,222048148,206724614,1226174889,3056982286,108938140525,12519813281,20246118435,20247332538,25950914793,41455141389,1153294243,265657338,295759038556,577039673,54114123174,26069065414,2495203933,80905357305,52650235543,969313260,1231028257,297051517,16825434630,12929092707,348175423205,99861058042,81979523125,82783905699,512.55,2.08,5.47,118.53,11.35,3.66,5.62,2.21,2.81,0.68,0.4,1.3,6.97,0.99
500.perlbench_r,30,357223739,310465282170,56793395138,605161965,88689119750,126515026571,47910,709513278,2192159657,995,29873,1003138003,84915861366,52724321644,1257335426,41275493,244672042,8653451,7500129,37707936,615600472,57830382012,56286775066,19277835,86455237345,2572865,56279743939,1977024,9408374,585919680,2094071770,313419048,237450003,220453900,1310399217,3268635280,116966909178,13389734525,21644488982,21645794076,27749693849,44360927676,1238030709,285244983,317527214783,617301448,58089337460,27979076231,2674953299,86855993724,56542571196,1040703573,1319447551,316465525,17992297748,13832274616,373951467588,107209146336,87939151625,88789560059,514.38,2.08,5.47,118.7,11.35,3.66,5.62,2.22,2.81,0.67,0.4,1.3,6.98,0.99
500.perlbench_r,32,387697606,330295538244,60431993990,644054849,94597939125,134909750274,47945,756783823,2349453673,1173,31867,1074791847,90357192037,56436895516,1343154435,43795015,261659292,9255095,7820693,40176655,657806525,61739497048,60085867926,20704861,92324231659,2757270,60093434376,2111535,10130049,629353714,2246279911,336368603,255005029,237372647,1406101071,3506344835,124904147952,14279153782,23088645298,23090039786,29582479939,47320285612,1317310408,304088411,338472201917,659297873,61931466142,29831860236,2852333216,92599350104,60269981538,1113181675,1412010247,340909212,19363439450,14879755507,398879792751,114356342466,93883989500,94794412533,513.38,2.08,5.47,118.67,11.35,3.66,5.62,2.22,2.82,0.68,0.4,1.3,6.98,0.99
500.perlbench_r,34,411741484,351180892228,64241666718,685995994,100531899500,143391878843,47993,804255508,2493358320,1248,33866,1136936028,96054669557,60022288302,1434513179,46767390,279968795,9888928,8065479,42211417,700993519,65749439240,64029023761,21970060,98311970966,2917515,64027775895,2230912,10677754,665308732,2370399342,355818762,269842756,251463442,1487296562,3702115321,132903525324,15034820698,24349894665,24351381137,31197583025,50027330485,1377881051,318021903,360417196048,702228392,65923894738,31744486028,3030857990,98574746483,64202486723,1174327162,1491761719,360127370,20417461045,15696181662,424779533863,121696168553,99834567125,100800145220,513.25,2.08,5.47,118.92,11.35,3.66,5.61,2.21,2.8,0.68,0.4,1.3,6.98,0.99
500.perlbench_r,36,429624393,373322940404,68272006605,725376522,106478841875,151893968766,48881,851831061,2606572670,1300,35864,1188725656,102080477746,63752846319,1509543549,49365942,295104166,10405272,8402310,44099349,741963594,69873625340,68090063434,22981283,104442929910,3057398,68064895812,2328310,11135571,694778451,2470099318,371340050,281770912,263088506,1553955699,3861961175,140949431638,15922542735,25788508734,25790087017,33026011365,52973221842,1459179149,336845915,383019924121,743226552,70036451418,33708078857,3210402338,104721025635,68244104339,1230261015,1565700324,377373131,21379538244,16440708819,451107164487,129107722835,105787547125,106804999798,515.35,2.08,5.47,119.31,11.36,3.66,5.61,2.18,2.78,0.67,0.4,1.3,6.99,0.99
500.perlbench_r,38,453938266,394142579404,72077955404,767280431,112427163500,160396883629,48915,899417673,2758129904,1350,37863,1255043273,107768677866,67684790431,1566074827,51416397,306691581,10795162,8621312,46359248,785238251,73812047988,71922659362,24408051,110319162091,3238426,71893213954,2467452,11801839,736678112,2618464513,394323712,299225922,279122862,1649422740,4094694185,148930082135,16813558507,27231612611,27233278379,34856402476,55930425405,1537988928,355232459,404147088063,785376816,73901889599,35567427697,3386718923,110498317199,72010937461,1300114583,1655501007,400731337,22684368307,17439758595,476288947759,136309246057,111741751750,112810328452,514.59,2.08,5.47,119.33,11.36,3.66,5.61,2.19,2.78,0.67,0.4,1.3,6.99,0.99
500.perlbench_r,40,480406718,414807388091,75849748007,808203402,118357115125,168862751284,48953,946857292,2901660054,1403,39862,1318077585,113410006839,71259954848,1658259365,54388408,325153632,11449080,8913565,48643917,827706940,77739808804,75753703988,25716450,116234159361,3408287,75751529150,2595744,12449537,776940632,2759752721,415864697,315544736,293946027,1739162608,4316251938,156939473484,17738492484,28709750785,28711506496,36728546202,58923794074,1620520635,374012039,425641290102,828053228,77834259012,37460821944,3566116109,116378394724,75845924223,1365225181,1739858861,423104354,23921046330,18385388723,501627880068,143527417995,117688905625,118814663163,514.03,2.08,5.47,119.36,11.36,3.66,5.61,2.18,2.78,0.68,0.4,1.3,6.99,0.99
