workload,cycles,cache-misses,instructions,stalled-cycles-backend,branch-misses,context-switches,iTLB-load-misses,IpNReturn,IpMispredict,BpTkBranch
500.perlbench_r,434898700976,2130461330,1011401689312,123627981195,1781685862,10930,1091950,119.77,568.05,2.09
500.perlbench_r,442862375059,2170202268,1030026199568,125938666469,1814388403,11133,1110744,119.77,568.06,2.09
500.perlbench_r,450934928055,2214623230,1048019069309,128302301259,1847350630,11338,1133723,119.72,567.67,2.09
500.perlbench_r,459008128471,2253090397,1066948529693,130606314245,1880231764,11536,1152974,119.72,567.58,2.09
500.perlbench_r,467078471121,2294664871,1085410996867,132911193540,1913389268,11740,1173726,119.75,567.62,2.09
500.perlbench_r,475143020641,2328566140,1105150013108,135181425799,1946156035,11939,1190665,119.84,568.25,2.09
500.perlbench_r,483216696030,2370927875,1123565981237,137452172373,1979014234,12140,1211461,119.79,568.04,2.09
500.perlbench_r,491279506632,2409944042,1142364658143,139721961254,2012026712,12345,1231962,119.82,568.09,2.09
500.perlbench_r,499269374503,2450629201,1160942482259,142010268995,2045274169,12544,1251805,119.8,568.02,2.09
500.perlbench_r,507343061586,2488316464,1180118797031,144263904810,2078411783,12745,1271000,119.82,568.2,2.09
500.perlbench_r,515414799623,2529927495,1198814823177,146496003902,2111578429,12950,1293160,119.78,568.13,2.09
500.perlbench_r,523474700247,2566706649,1217926721353,148809060165,2145187920,13152,1312011,119.82,568.12,2.09
500.perlbench_r,531445204874,2604528918,1236516944917,151083270242,2178308250,13355,1332520,119.85,568.04,2.09
500.perlbench_r,539518645429,2644052307,1255441873609,153374682613,2210756122,13557,1353966,119.86,568.26,2.09
500.perlbench_r,547494415599,2679663239,1273685933405,155633986913,2241277563,13760,1374669,119.81,568.4,2.09
500.perlbench_r,555561802015,2699034082,1291500586264,156637615559,2264158231,13955,1375020,118.56,570.54,2.09
500.perlbench_r,563575873690,2719223354,1309686858935,157501822221,2287998599,14148,1375690,117.54,572.46,2.08
500.perlbench_r,571647951302,2736388146,1327910180368,158365762455,2311836590,14339,1376300,116.56,574.38,2.08
500.perlbench_r,579729790655,2751935682,1346065263713,159213396270,2335649966,14533,1376357,115.62,576.25,2.08
500.perlbench_r,587787013418,2768896350,1364195052692,160049167776,2359402633,14726,1376398,114.72,578.08,2.07
500.perlbench_r,595856408226,2800064501,1383110724779,161313039743,2377034775,14922,1376936,113.55,581.57,2.07
500.perlbench_r,603903897926,2832391418,1402129984225,162373402129,2396115972,15117,1377000,112.4,584.88,2.06
500.perlbench_r,611987136425,2864958433,1421373679076,163497720084,2415342509,15309,1377250,111.3,588.19,2.06
500.perlbench_r,620069976588,2898029842,1440554918856,164594418286,2434671278,15501,1377462,110.26,591.41,2.06
500.perlbench_r,628153031314,2930347901,1459724389749,165691939544,2453857936,15687,1377494,109.26,594.61,2.05
500.perlbench_r,636236111975,2965252997,1478820589666,166783448134,2472963273,15877,1377573,108.31,597.75,2.05
500.perlbench_r,644302948466,3000884153,1497996605687,167911490228,2492281924,16070,1378106,107.4,600.8,2.05
500.perlbench_r,652356378650,3036502256,1517171287927,169038196383,2511525022,16266,1378995,106.54,603.7,2.04
500.perlbench_r,660440677836,3071894853,1536440765589,170179603592,2530722976,16455,1379038,105.7,606.72,2.04
500.perlbench_r,668523788004,3105976436,1555374568120,171204507555,2551076834,16645,1379210,104.91,609.5,2.04
500.perlbench_r,676604112894,3131814845,1573596289873,172056907093,2574891162,16833,1379243,104.37,610.87,2.04
500.perlbench_r,684683628864,3154242789,1591751654809,172915246803,2598603473,17030,1379287,103.86,612.25,2.03
500.perlbench_r,692763529779,3177983405,1609879812779,173752101360,2622415173,17223,1379305,103.36,613.58,2.03
500.perlbench_r,700844767718,3203807374,1628167250877,174618064169,2646254320,17415,1379708,102.88,614.89,2.03
500.perlbench_r,708922461274,3231932105,1645920910387,175878223488,2667163717,17603,1379767,102.41,616.2,2.03
500.perlbench_r,717009136757,3266399865,1664822707317,177042524217,2685931179,17793,1380116,101.75,619.19,2.02
500.perlbench_r,725093315176,3300312826,1683937924887,178143127391,2705194890,17985,1380888,101.1,621.83,2.02
500.perlbench_r,733176438557,3334798604,1703026551044,179227287436,2724353796,18181,1380911,100.48,624.42,2.02
500.perlbench_r,741258571741,3368785953,1722091603041,180317424869,2743727712,18374,1381077,99.88,626.94,2.02
500.perlbench_r,749342169711,3403921426,1741200525543,181407070744,2762989655,18566,1381103,99.3,629.48,2.01
500.perlbench_r,757424705854,3438557128,1760292177998,182496965699,2782204701,18756,1381108,98.74,632,2.01
500.perlbench_r,765500804586,3469252190,1778799105414,183458335260,2804173148,18950,1381515,98.27,633.9,2.01
500.perlbench_r,773582878556,3488889062,1796879881807,184378444238,2827767951,19139,1382126,97.92,634.96,2.01
500.perlbench_r,781663329284,3507287581,1814910569713,185295199656,2851254085,19333,1382510,97.58,636.01,2.01
500.perlbench_r,789745771416,3536209149,1833133497485,186145407669,2874881370,19523,1382527,97.25,637.06,2
500.perlbench_r,797826131361,3553567938,1851176493537,187071459837,2898343473,19715,1382717,96.93,638.07,2
500.perlbench_r,805907354478,3594489536,1868266667419,188985900709,2915330314,19907,1383075,96.56,639.95,2
500.perlbench_r,813992223228,3628647993,1887368149575,190098833455,2934507721,20096,1383103,96.09,642.28,2
500.perlbench_r,822076168706,3659508286,1906495337706,191185219152,2953661556,20292,1383342,95.62,644.59,2
500.perlbench_r,830159721356,3691129261,1925179832387,192199502692,2974575858,20492,1383511,95.21,646.57,2
