workload,cycles,cache-misses,instructions,cycle_activity.stalls_total,branch-misses,context-switches,iTLB-load-misses,IpCall,IpLoad,IpMispredict,BpTkBranch,MLP
execl,211319060639,74739142,172474439337,95635448923,674545120,5717,71907597,38.71,3.68,249.58,1.84,1.43
execl,215554252639,76146885,176037858420,97590088464,688268419,5794,73330265,38.71,3.68,249.57,1.84,1.43
execl,219789630358,78051919,179572884531,99546461520,701963857,5887,74688006,38.71,3.68,249.57,1.84,1.43
execl,223392797200,79636759,182027339198,100907247248,711500460,5968,75669873,38.71,3.68,249.56,1.84,1.43
execl,227662386820,81311474,185630922070,102888608762,725368077,6035,77082967,38.71,3.68,249.54,1.84,1.43
execl,231900180633,83089084,189203425046,104864077652,739121845,6168,78489503,38.71,3.68,249.51,1.84,1.43
execl,236128817690,84805988,192783895191,106839293270,752873690,6426,79937852,38.72,3.68,249.49,1.84,1.43
execl,240170335337,86850952,196314329378,108782593020,766384324,6503,81410290,38.72,3.68,249.47,1.84,1.43
execl,244412977418,88472122,199902749272,110758646461,780238276,6575,82918160,38.71,3.68,249.49,1.84,1.43
execl,248621816043,90482910,203439041370,112743253132,793864900,6652,84402770,38.71,3.68,249.5,1.84,1.43
execl,251868513413,91934332,205264784255,113789266894,800935631,6706,85131420,38.71,3.68,249.52,1.84,1.43
execl,256108833214,93775719,208785362326,115782784783,814617024,6765,86608974,38.71,3.68,249.51,1.84,1.43
execl,260373905332,95416374,212339438518,117778561549,828349539,6840,88055383,38.71,3.68,249.52,1.84,1.43
execl,264639633664,96968547,215898036908,119774468022,842088803,6934,89455919,38.72,3.68,249.55,1.84,1.42
execl,268873915054,98458650,219448896533,121722419583,855825468,7214,90966840,38.72,3.68,249.56,1.84,1.42
execl,273108259785,100561315,222947854835,123689199260,869463882,7372,92451648,38.72,3.68,249.55,1.84,1.42
execl,277333843447,103785378,226375899261,125679290261,882811357,7547,93769556,38.72,3.68,249.55,1.84,1.42
